Date,Long Iram,Barong Tongkok,Kembang Janggut,Karang Tunggal,Damai,Muara Ancalong,Muara Kaman,Panyinggahan,Sumber Sari,Tj. Issuy,Tenggarong,Muara Wahau
08-Aug-08,-,0,0,0,0,0,0,0,0,9,0,0
09-Aug-08,-,0,4.7,0.7,0,10.1,0,0,0.5,51.4,0,30.6
10-Aug-08,-,0,0,0,0,0,63.6,31.2,0,0,7.5,15.2
11-Aug-08,-,0,0,0,0,0,0,0,0,0,20.1,0
12-Aug-08,-,0,3.1,0,0,0,56.2,0,0,0,112.8,0
13-Aug-08,-,0,2.7,20,0,0,35.8,0,21.5,0,0,0
14-Aug-08,-,0,4.2,0,0,0,0,0,0,0,87.7,0
15-Aug-08,-,0,0,23,0,0,0,0,2.3,0,0,0
16-Aug-08,-,0,0,0,0,22.2,42.6,0,0,0,0,20.5
17-Aug-08,-,1,0,0.6,0,0,0,0,0.9,0,0,0
18-Aug-08,-,0,0,0,0,0,57.5,0,0,0,43.9,0
19-Aug-08,-,0,0,0.3,0,20.3,48.4,20,0.6,38.2,0,19.5
20-Aug-08,-,0,0,0,0,0,0,0,0,1,0,0
21-Aug-08,-,0,0,10,0,0,0,0,12.5,0,38.2,0
22-Aug-08,-,0,0,0,0,0,0,0,1,0,31.6,0
23-Aug-08,-,0,4.2,10,0,0,56.7,0,10.2,0.5,0,0
24-Aug-08,-,0,1.7,15,11.5,0,0,0,15.2,9.9,0,0
25-Aug-08,-,0,3.5,12,0,0,62.5,0,21.4,34.6,54.3,0
26-Aug-08,-,0,0,0,2.5,0,0,0,15.2,0,57.4,0
27-Aug-08,-,0.5,2.4,0,0,81.5,0,0,0,4,0,59.6
28-Aug-08,-,0,1.2,0,0,0,57.3,0,0,0,0,0
29-Aug-08,-,0,3.6,0,10.2,0,36.8,0,0,1.3,0,0
30-Aug-08,-,0,0,0.6,0,0,0,0,0.9,0,46.9,0
31-Aug-08,-,0,2.4,0.6,0,30.3,0,0,0.6,0,11.7,22.6
01-Sep-08,-,2,0,0,0,0,48.6,0,0,0,43.4,22.6
02-Sep-08,-,0,0,0.6,0,0,0,21.1,0.9,4.5,88.7,0.5
03-Sep-08,-,0,1.6,0,0,0,54.2,0,0,0.8,0,0
04-Sep-08,-,0,0,0,4.7,0,0,0,0,0,5.6,0
05-Sep-08,-,15.2,2.4,12,0,0,0,0,12.5,0,52.3,0
06-Sep-08,-,0,0,0.4,0,0,56.7,0,0,17.3,11.6,0
07-Sep-08,-,0,0,0.2,3.8,0,0,0,6,0,65.7,0
08-Sep-08,-,0,0,0,0,0,42.5,0,0,0,3.4,0
09-Sep-08,-,0,0,0,0,0,0,0,0,5.5,0,15.2
10-Sep-08,-,11.5,1.7,34,0,11.2,0,0,30.4,17.3,0,31.5
11-Sep-08,-,31.5,0,0,10.5,0,0,42,0,1.4,0,0
12-Sep-08,-,0,0,0,0,0,0,0,0,0,0,0
13-Sep-08,-,5,0,0,0,0,37.4,0,0,0,33.9,0
14-Sep-08,-,0,0,0,0,0,0,0,0,0,15.2,0
15-Sep-08,-,0,0,0,0,0,0,0,0,0,0,0
16-Sep-08,-,0,0,0,20.5,0,0,0,0,0,0,0
17-Sep-08,-,0,2.4,0.6,0,20.5,42.6,0,0.9,30.3,74.8,15.2
18-Sep-08,-,21.5,2.6,0,1.6,0,0,10,0,0,0,0
19-Sep-08,-,0,0,0,9.3,0,0,0,0,0,25.5,0
20-Sep-08,-,0,0,0,15.3,0,0,0,0,30.4,0,0
21-Sep-08,-,0,0,0.3,0,0,0,0,0.6,18.7,0,0
22-Sep-08,-,0,0,0,0,0,0,40.5,0,0,0,20.1
23-Sep-08,-,5,0,0,0,0,0,0,0,0,0,0
24-Sep-08,-,0,0,0,0,0,0,0,12.5,0,0,0
25-Sep-08,-,0,0,0,0,0,0,0,0,0.9,97.1,0
26-Sep-08,-,0,0,0,4.2,0,0,0,0,0,0,0
27-Sep-08,-,0,0,0,0,0,0,0,0,0,16.7,0
28-Sep-08,-,11.2,0,0,0,0,0,0,0,12.6,60.3,0
29-Sep-08,-,0,3.6,0,30.2,0,0,0,0,0,0,0
30-Sep-08,-,0,0,0,0,12.1,0,0,0,15,0,22.6
01-Oct-08,-,0,11.7,40,0,0,0,10,40,0,7.2,0
02-Oct-08,-,0,0,18,2.5,0,0,0,18,1.5,0,0.6
03-Oct-08,-,3.6,0,0,0,13.1,0,0,0,0,3.6,1.6
04-Oct-08,-,31.6,0,0.6,0,0,0,0,0.6,0,7.8,21.5
05-Oct-08,-,0,0,0,0,0,0,0,0,0,26.9,0
06-Oct-08,-,0,0,17,9.3,30.1,0,0,17,0,0,33.6
07-Oct-08,-,0,0,0,0,0,0,0,0,0,0,0
08-Oct-08,-,15.2,0,0.8,0,0,0,0,0.8,2.3,1.6,0
